#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2017 04 15 12 50 120  5.0  6.0   1.2     9   5.9  87 1027.3  23.7  24.3  14.5   MM +2.1    MM
2017 04 15 11 50 110  5.0  6.0   1.4     9   6.0 107 1026.7  23.6  24.2  15.0   MM +1.7    MM
2017 04 15 10 50 120  5.0  6.0   1.4     9   5.7 100 1025.9  23.3  24.1  14.4   MM +1.0    MM
2017 04 15 09 50 120  6.0  7.0   1.5     9   5.9 103 1025.2  23.2  24.1  14.4   MM +0.6    MM
2017 04 15 08 50 120  6.0  7.0   1.5     9   5.8 105 1025.0  23.3  24.1  14.7   MM -0.0    MM
2017 04 15 07 50 130  6.0  7.0   1.5    10   5.9 124 1024.9  23.4  24.0  14.1   MM -0.3    MM
2017 04 15 06 50 140  7.0  7.0   1.4    10   5.7 121 1024.6  23.5  24.1  13.9   MM -0.8    MM
2017 04 15 05 50 130  7.0  8.0   1.4     9   5.8 104 1025.0  23.5  24.1  15.2   MM -0.4    MM
2017 04 15 04 50 130  6.0  8.0   1.4     9   5.9 116 1025.2  23.6  24.2  15.6   MM +0.0    MM
2017 04 15 03 50 120  6.0  6.0   1.4    10   5.8 105 1025.4  23.5  24.2  15.8   MM +0.6    MM
2017 04 15 02 50 110  6.0  7.0   1.5    10   6.1  95 1025.4  23.2  24.2  17.5   MM +1.1    MM
2017 04 15 01 50 110  5.0  6.0   1.4     9   6.2 109 1025.3  23.6  24.2  16.2   MM +1.2    MM
2017 04 15 00 50 100  5.0  6.0   1.5    10   5.9 107 1024.8  23.6  24.2  16.3   MM +0.6    MM
2017 04 14 23 50  70  5.0  6.0   1.5     9   5.9  99 1024.3  23.0  24.2  18.4   MM +0.0    MM
2017 04 14 22 50  60  6.0  7.0   1.5     9   5.7 111 1024.1  22.9  24.1  19.3   MM -0.4    MM
2017 04 14 21 50  40  7.0  7.0   1.5     8   5.6 105 1024.2  22.2  23.9  20.2   MM -0.8    MM
2017 04 14 20 50  30  7.0  8.0   1.5     8   5.4  98 1024.1  21.9  23.9  20.5   MM -1.2    MM
2017 04 14 19 50  20  6.0  7.0   1.5     9   5.7 104 1024.5  21.7  23.7  20.4   MM -1.0    MM
2017 04 14 18 50  10  6.0  7.0   1.4    10   5.3 110 1025.0  21.4  23.7  20.2   MM -0.6    MM
2017 04 14 17 50  20  6.0  8.0   1.5    10   5.6 107 1025.3  21.5  23.6  19.9   MM +0.0    MM
2017 04 14 16 50  30  6.0  7.0   1.4    10   5.5 110 1025.5  21.6  23.6  20.0   MM +0.7    MM
2017 04 14 15 50  30  6.0  7.0   1.3     8   5.6 117 1025.6  21.6  23.6  19.9   MM +1.1    MM
2017 04 14 14 50  40  7.0  8.0   1.3    10   5.8 107 1025.2  21.7  23.6  19.8   MM +1.0    MM
2017 04 14 13 50  30  6.0  8.0   1.2    10   5.4 100 1024.8  21.7  23.6  19.7   MM +1.0    MM
2017 04 14 12 50  30  5.0  7.0   1.3    10   5.7 101 1024.5  22.4  23.6  18.9   MM +1.4    MM
2017 04 14 11 50  40  4.0  5.0   1.1    10   5.8 111 1024.2  22.7  23.4  16.8   MM +1.3    MM
2017 04 14 10 50  70  4.0  5.0   1.1     8   5.2 110 1023.8  21.7  22.9  17.6   MM +0.7    MM
2017 04 14 09 50  40  9.0 10.0   1.3     8   5.1 106 1023.1  21.6  21.2  20.0   MM +0.0    MM
